base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
3clusters_3outliers,logreg,4,t10,ATL_selector,0.6086460271258395,0.7688204508856683,0.7759572253969529,0.2016936976890081,
3clusters_3outliers,logreg,4,t10,Logistic_Dirty,0.6700695826144714,0.6557971014492754,0.6757750483626352,0.2356562830457386,"{""lam1"": 0.1120355393347778, ""lam2"": 0.07740536788271633, ""max_iter"": 525, ""tol"": 0.00010672200106389361, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t10,Logistic_L21,0.6777129966846251,0.6509661835748792,0.6724217983155828,0.2382511125581469,"{""lam"": 0.10380726716144505, ""max_iter"": 1178, ""tol"": 0.00018781084997178702, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t10,Logistic_rMTFL,0.6373980024615118,0.7192028985507246,0.7282280586644448,0.2193458232631078,"{""tau"": 0.17490855378990064, ""lam"": 0.8085362823834754, ""max_iter"": 692, ""tol"": 1.5268468123166765e-06, ""tau_init"": 2.0382650253690437, ""cont_factor"": 0.5628641690666577, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t10,Single_Task,0.6922695571354939,0.6311392914653784,0.6564836666351732,0.2448821599838796,
3clusters_3outliers,logreg,4,t11,ATL_selector,0.5685639970521603,0.7899999999999999,0.7638958724446279,0.1916378696164289,
3clusters_3outliers,logreg,4,t11,Logistic_Dirty,0.6287115614590314,0.7092999999999999,0.6785076300567378,0.2190431117142711,"{""lam1"": 0.11048537244917848, ""lam2"": 1.6055719316635895, ""max_iter"": 1500, ""tol"": 8.152500547366716e-06, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t11,Logistic_L21,0.6290517940616834,0.7099,0.6794816299199199,0.2191861204758789,"{""lam"": 0.11305195892185803, ""max_iter"": 840, ""tol"": 0.00023403554809598662, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t11,Logistic_rMTFL,0.607923372871324,0.7382,0.7146894350664453,0.209602695794847,"{""tau"": 0.11872322431632915, ""lam"": 0.13375624887570417, ""max_iter"": 1563, ""tol"": 9.095050190478233e-05, ""tau_init"": 1.7594166321286295, ""cont_factor"": 0.7031994323834431, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t11,Single_Task,0.6296308284610913,0.7057,0.6765228754645236,0.2196212718682697,
3clusters_3outliers,logreg,4,t12,ATL_selector,0.5863619893268787,0.7598231333534318,0.7217622401586201,0.2007358521946494,
3clusters_3outliers,logreg,4,t12,Logistic_Dirty,0.6343010795212898,0.6872676112953472,0.6545167356208264,0.2229084915424289,"{""lam1"": 0.09895969138363055, ""lam2"": 0.03436134217871305, ""max_iter"": 909, ""tol"": 2.1411999309319953e-06, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t12,Logistic_L21,0.6267589208792042,0.6974173449904533,0.6633056097237908,0.2197716074153091,"{""lam"": 0.08434462174419602, ""max_iter"": 1201, ""tol"": 1.6612946800246595e-06, ""standardize"": false, ""random_state"": 42}"
